,ID,Name,StudyHours,Attendance,Marks,Grade,Result,Performance Score
0,1,Student_1,4.4,96,59,F,Fail,64.64
1,2,Student_2,9.6,61,60,D,Pass,55.26
2,3,Student_3,7.6,65,80,B,Pass,68.26
3,4,Student_4,6.4,73,99,A,Pass,81.94
4,5,Student_5,2.4,68,79,C,Pass,68.04
5,6,Student_6,2.4,57,73,C,Pass,61.14
6,7,Student_7,1.5,80,83,B,Pass,73.95
7,8,Student_8,8.8,70,67,D,Pass,62.08
8,9,Student_9,6.4,66,43,F,Fail,46.24
9,10,Student_10,7.4,72,73,C,Pass,66.14
10,11,Student_11,1.2,86,97,A,Pass,84.12
11,12,Student_12,9.7,65,50,F,Fail,50.47
12,13,Student_13,8.5,55,69,D,Pass,58.75
13,14,Student_14,2.9,57,52,F,Fail,48.59
14,15,Student_15,2.6,74,72,C,Pass,65.66
15,16,Student_16,2.7,67,45,F,Fail,47.37
16,17,Student_17,3.7,74,67,D,Pass,62.77
17,18,Student_18,5.7,61,85,B,Pass,69.87
18,19,Student_19,4.9,64,60,D,Pass,55.69
19,20,Student_20,3.6,75,79,C,Pass,70.26
20,21,Student_21,6.5,90,87,B,Pass,79.85
21,22,Student_22,2.3,94,95,A,Pass,85.43
22,23,Student_23,3.6,75,69,D,Pass,64.26
23,24,Student_24,4.3,96,64,D,Pass,67.63
24,25,Student_25,5.1,81,49,F,Fail,54.21
25,26,Student_26,8.1,59,99,A,Pass,77.91
26,27,Student_27,2.8,65,95,A,Pass,76.78
27,28,Student_28,5.6,56,72,C,Pass,60.56
28,29,Student_29,6.3,66,90,A,Pass,74.43
29,30,Student_30,1.4,72,71,C,Pass,64.34
30,31,Student_31,6.5,75,77,C,Pass,69.35
31,32,Student_32,2.5,70,45,F,Fail,48.25
32,33,Student_33,1.6,71,85,B,Pass,72.46
33,34,Student_34,9.5,56,47,F,Fail,45.95
34,35,Student_35,9.7,63,89,B,Pass,73.27
35,36,Student_36,8.3,64,86,B,Pass,71.63
36,37,Student_37,3.7,56,82,B,Pass,66.37
37,38,Student_38,1.9,58,42,F,Fail,42.79
38,39,Student_39,7.2,100,58,F,Fail,65.52
39,40,Student_40,5.0,97,55,F,Fail,62.6
40,41,Student_41,2.1,57,61,D,Pass,53.91
41,42,Student_42,5.5,99,45,F,Fail,57.25
42,43,Student_43,1.3,72,96,A,Pass,79.33
