,ID,Name,StudyHours,Attendance,Marks,Grade,Result,Performance Score
3,4,Student_4,6.4,73,99,A,Pass,81.94
10,11,Student_11,1.2,86,97,A,Pass,84.12
21,22,Student_22,2.3,94,95,A,Pass,85.43
25,26,Student_26,8.1,59,99,A,Pass,77.91
26,27,Student_27,2.8,65,95,A,Pass,76.78
28,29,Student_29,6.3,66,90,A,Pass,74.43
42,43,Student_43,1.3,72,96,A,Pass,79.33
49,50,Student_50,2.7,67,95,A,Pass,77.37
51,52,Student_52,8.0,88,99,A,Pass,86.6
52,53,Student_53,9.5,66,91,A,Pass,75.35
54,55,Student_55,6.4,80,95,A,Pass,81.64
58,59,Student_59,1.4,94,92,A,Pass,83.54
59,60,Student_60,3.9,83,92,A,Pass,80.49
68,69,Student_69,1.7,64,98,A,Pass,78.17
72,73,Student_73,1.0,71,91,A,Pass,76.0
73,74,Student_74,8.3,74,95,A,Pass,80.03
85,86,Student_86,3.9,79,97,A,Pass,82.29
87,88,Student_88,6.7,62,97,A,Pass,77.47
102,103,Student_103,3.8,79,99,A,Pass,83.48
105,106,Student_106,3.2,69,99,A,Pass,80.42
114,115,Student_115,6.7,99,99,A,Pass,89.77
122,123,Student_123,3.9,64,93,A,Pass,75.39
141,142,Student_142,3.3,53,98,A,Pass,75.03
143,144,Student_144,3.7,69,97,A,Pass,79.27
148,149,Student_149,1.5,59,90,A,Pass,71.85
159,160,Student_160,7.6,72,93,A,Pass,78.16
160,161,Student_161,4.3,98,97,A,Pass,88.03
166,167,Student_167,3.9,84,90,A,Pass,79.59
168,169,Student_169,1.4,67,94,A,Pass,76.64
172,173,Student_173,5.6,81,93,A,Pass,80.66
187,188,Student_188,6.0,78,97,A,Pass,82.2
202,203,Student_203,2.5,64,98,A,Pass,78.25
214,215,Student_215,7.4,54,98,A,Pass,75.74
225,226,Student_226,3.2,83,95,A,Pass,82.22
231,232,Student_232,5.5,55,96,A,Pass,74.65
235,236,Student_236,7.5,89,93,A,Pass,83.25
239,240,Student_240,2.6,90,91,A,Pass,81.86
240,241,Student_241,9.5,62,90,A,Pass,73.55
241,242,Student_242,9.6,92,95,A,Pass,85.56
245,246,Student_246,9.4,85,90,A,Pass,80.44
251,252,Student_252,4.5,94,99,A,Pass,88.05
252,253,Student_253,8.7,100,96,A,Pass,88.47
260,261,Student_261,6.5,88,90,A,Pass,81.05
268,269,Student_269,4.2,61,92,A,Pass,73.92
276,277,Student_277,8.2,90,99,A,Pass,87.22
293,294,Student_294,4.2,77,97,A,Pass,81.72
298,299,Student_299,6.6,71,92,A,Pass,77.16
299,300,Student_300,1.8,53,99,A,Pass,75.48
303,304,Student_304,6.7,99,93,A,Pass,86.17
341,342,Student_342,5.3,84,99,A,Pass,85.13
342,343,Student_343,2.6,62,96,A,Pass,76.46
349,350,Student_350,6.6,81,90,A,Pass,78.96
362,363,Student_363,5.1,70,96,A,Pass,79.11
365,366,Student_366,4.5,86,92,A,Pass,81.45
366,367,Student_367,9.7,69,90,A,Pass,75.67
383,384,Student_384,8.9,65,97,A,Pass,78.59
389,390,Student_390,8.3,78,94,A,Pass,80.63
399,400,Student_400,7.8,73,94,A,Pass,79.08
404,405,Student_405,3.9,74,94,A,Pass,78.99
407,408,Student_408,1.1,56,97,A,Pass,75.11
409,410,Student_410,1.8,93,96,A,Pass,85.68
414,415,Student_415,6.7,97,98,A,Pass,88.57
431,432,Student_432,7.9,81,91,A,Pass,79.69
440,441,Student_441,1.8,71,96,A,Pass,79.08
441,442,Student_442,9.9,100,91,A,Pass,85.59
460,461,Student_461,2.1,82,92,A,Pass,80.01
461,462,Student_462,6.8,82,92,A,Pass,80.48
462,463,Student_463,7.7,90,92,A,Pass,82.97
465,466,Student_466,4.4,82,99,A,Pass,84.44
478,479,Student_479,9.7,91,97,A,Pass,86.47
487,488,Student_488,3.5,58,94,A,Pass,74.15
493,494,Student_494,2.7,61,91,A,Pass,73.17
494,495,Student_495,5.2,57,94,A,Pass,74.02
496,497,Student_497,6.3,99,99,A,Pass,89.73
500,501,Student_501,7.3,56,93,A,Pass,73.33
506,507,Student_507,9.2,71,92,A,Pass,77.42
509,510,Student_510,7.5,90,98,A,Pass,86.55
511,512,Student_512,4.8,63,99,A,Pass,78.78
515,516,Student_516,1.2,72,92,A,Pass,76.92
526,527,Student_527,4.7,78,91,A,Pass,78.47
550,551,Student_551,5.7,70,90,A,Pass,75.57
552,553,Student_553,6.0,73,98,A,Pass,81.3
560,561,Student_561,7.3,99,91,A,Pass,85.03
562,563,Student_563,2.2,100,90,A,Pass,84.22
572,573,Student_573,4.6,55,96,A,Pass,74.56
573,574,Student_574,6.6,88,92,A,Pass,82.26
578,579,Student_579,5.4,52,94,A,Pass,72.54
584,585,Student_585,6.7,82,91,A,Pass,79.87
587,588,Student_588,2.2,57,98,A,Pass,76.12
592,593,Student_593,2.6,91,95,A,Pass,84.56
594,595,Student_595,9.1,63,91,A,Pass,74.41
596,597,Student_597,7.0,51,94,A,Pass,72.4
600,601,Student_601,2.5,94,97,A,Pass,86.65
605,606,Student_606,5.1,74,92,A,Pass,77.91
619,620,Student_620,7.7,61,94,A,Pass,75.47
620,621,Student_621,2.7,85,91,A,Pass,80.37
630,631,Student_631,7.4,59,99,A,Pass,77.84
638,639,Student_639,3.4,69,94,A,Pass,77.44
641,642,Student_642,3.9,61,92,A,Pass,73.89
649,650,Student_650,5.5,61,93,A,Pass,74.65
661,662,Student_662,9.9,63,97,A,Pass,78.09
691,692,Student_692,4.8,99,95,A,Pass,87.18
698,699,Student_699,2.4,65,92,A,Pass,74.94
701,702,Student_702,1.5,57,99,A,Pass,76.65
707,708,Student_708,8.3,81,94,A,Pass,81.53
712,713,Student_713,5.2,96,97,A,Pass,87.52
731,732,Student_732,8.3,95,96,A,Pass,86.93
738,739,Student_739,5.0,63,94,A,Pass,75.8
740,741,Student_741,5.2,54,92,A,Pass,71.92
743,744,Student_744,5.5,77,94,A,Pass,80.05
758,759,Student_759,9.0,53,90,A,Pass,70.8
768,769,Student_769,4.1,62,91,A,Pass,73.61
769,770,Student_770,8.4,90,95,A,Pass,84.84
781,782,Student_782,5.9,61,93,A,Pass,74.69
795,796,Student_796,8.8,75,99,A,Pass,82.78
802,803,Student_803,6.2,51,97,A,Pass,74.12
812,813,Student_813,2.1,77,94,A,Pass,79.71
814,815,Student_815,8.8,75,97,A,Pass,81.58
816,817,Student_817,6.3,61,93,A,Pass,74.73
819,820,Student_820,4.0,97,99,A,Pass,88.9
821,822,Student_822,1.0,64,97,A,Pass,77.5
830,831,Student_831,3.0,99,90,A,Pass,84.0
838,839,Student_839,6.2,96,98,A,Pass,88.22
847,848,Student_848,10.0,62,99,A,Pass,79.0
848,849,Student_849,5.5,71,92,A,Pass,77.05
858,859,Student_859,6.1,77,97,A,Pass,81.91
859,860,Student_860,1.6,84,94,A,Pass,81.76
862,863,Student_863,5.7,91,92,A,Pass,83.07
868,869,Student_869,8.8,62,92,A,Pass,74.68
869,870,Student_870,9.5,53,96,A,Pass,74.45
872,873,Student_873,6.8,79,98,A,Pass,83.18
874,875,Student_875,1.2,56,91,A,Pass,71.52
884,885,Student_885,8.2,91,91,A,Pass,82.72
885,886,Student_886,2.6,85,98,A,Pass,84.56
890,891,Student_891,7.5,93,97,A,Pass,86.85
893,894,Student_894,4.6,96,91,A,Pass,83.86
895,896,Student_896,2.8,71,90,A,Pass,75.58
896,897,Student_897,3.6,70,93,A,Pass,77.16
898,899,Student_899,1.1,77,93,A,Pass,79.01
902,903,Student_903,2.6,64,95,A,Pass,76.46
914,915,Student_915,6.0,99,97,A,Pass,88.5
929,930,Student_930,3.3,98,90,A,Pass,83.73
940,941,Student_941,3.5,84,96,A,Pass,83.15
942,943,Student_943,6.9,56,97,A,Pass,75.69
956,957,Student_957,5.7,91,95,A,Pass,84.87
958,959,Student_959,2.5,90,94,A,Pass,83.65
963,964,Student_964,4.5,95,98,A,Pass,87.75
968,969,Student_969,6.1,91,93,A,Pass,83.71
997,998,Student_998,2.2,99,90,A,Pass,83.92
